duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,video,library
16.187550,62.667542,40.101257,0.190186,9.648682,540Kb,moviepy
11.467470,43.069153,33.517151,0.089172,6.865967,540Kb,moviepy
8.665949,27.491577,20.562622,0.064941,5.142517,540Kb,moviepy
8.441249,25.403870,18.685181,0.058777,4.932190,540Kb,moviepy
8.284108,24.841919,18.471375,0.046814,4.804810,540Kb,moviepy
9.205327,25.254089,18.791809,0.046814,5.175476,540Kb,moviepy
12.279250,31.185608,22.640015,0.005066,6.882263,540Kb,moviepy
9.636272,26.268677,19.549561,0.005066,5.419556,540Kb,moviepy
9.803181,27.344666,20.437378,0.005066,5.471985,540Kb,moviepy
7.671033,26.954163,20.361084,0.005066,4.299377,540Kb,moviepy
11.253752,28.427246,20.876465,0.005066,6.267273,540Kb,moviepy
7.684324,24.091248,18.184631,0.005066,4.385925,540Kb,moviepy
7.220163,23.118652,17.844299,0.005066,4.090698,540Kb,moviepy
7.707760,24.389404,18.590576,0.004150,4.374878,540Kb,moviepy
11.050178,28.616272,20.714111,0.004150,6.181763,540Kb,moviepy
11.460525,29.577271,21.493408,0.004150,6.407288,540Kb,moviepy
11.049527,30.643738,22.563721,0.004150,6.180969,540Kb,moviepy
10.334555,27.702271,20.579651,0.004150,5.812744,540Kb,moviepy
11.563600,34.175110,24.907898,0.004150,6.354431,540Kb,moviepy
8.591456,40.183533,30.826965,0.004395,4.607361,540Kb,moviepy
7.876218,27.217651,20.855042,0.004395,4.369690,540Kb,moviepy
7.293428,23.683044,17.885559,0.004395,4.134705,540Kb,moviepy
7.331154,26.802856,20.570068,0.004395,4.072937,540Kb,moviepy
7.253263,24.885925,19.084351,0.004395,4.082153,540Kb,moviepy
7.475501,24.339600,18.633972,0.004395,4.253235,540Kb,moviepy
12.792854,31.080627,22.347351,0.004395,7.113159,540Kb,moviepy
12.892550,31.467712,22.601074,0.004517,7.173035,540Kb,moviepy
11.464492,30.374268,22.166870,0.004517,6.402405,540Kb,moviepy
8.183602,24.826050,18.781616,0.004517,4.635681,540Kb,moviepy
7.828642,23.665833,17.753479,0.004517,4.403076,540Kb,moviepy
12.219215,31.100891,22.414612,0.004517,6.796936,540Kb,moviepy
7.390468,23.286743,17.776611,0.004517,4.186646,540Kb,moviepy
11.123750,29.067261,21.155029,0.003967,6.245667,540Kb,moviepy
11.971603,31.324219,22.921753,0.003967,6.692200,540Kb,moviepy
7.727295,24.172974,18.498718,0.003967,4.426331,540Kb,moviepy
10.692211,28.452637,20.885986,0.003967,5.993896,540Kb,moviepy
7.726722,25.618896,19.640869,0.003967,4.401428,540Kb,moviepy
11.099806,29.589722,21.788940,0.003967,6.201782,540Kb,moviepy
7.875149,24.617798,18.444824,0.004761,4.482422,540Kb,moviepy
7.568440,23.263916,17.785400,0.004761,4.273254,540Kb,moviepy
8.235736,24.748169,18.498596,0.004761,4.642944,540Kb,moviepy
7.950058,24.631104,18.821045,0.004761,4.468384,540Kb,moviepy
7.591978,23.575195,17.933472,0.004761,4.259277,540Kb,moviepy
7.431582,23.144409,17.789917,0.004761,4.204407,540Kb,moviepy
7.393946,23.411621,17.688232,0.004761,4.182861,540Kb,moviepy
11.109810,29.518921,21.600769,0.004333,6.237427,540Kb,moviepy
7.671696,24.082275,18.203308,0.004333,4.359619,540Kb,moviepy
6.959496,22.380920,17.097778,0.004333,3.959534,540Kb,moviepy
7.977839,23.728699,18.044983,0.004333,4.502625,540Kb,moviepy
11.561706,30.310059,22.456543,0.004333,6.415588,540Kb,moviepy
7.304527,23.271545,17.789612,0.004333,4.105835,540Kb,moviepy
7.728612,23.480591,17.671631,0.004333,4.354248,540Kb,moviepy
10.719115,29.023743,21.323486,0.004028,5.993530,540Kb,moviepy
11.360470,29.137695,21.198975,0.005737,6.338928,540Kb,moviepy
11.275105,29.270386,21.512573,0.004944,6.321106,540Kb,moviepy
8.593346,26.035400,19.651611,0.004944,4.873108,540Kb,moviepy
7.154461,22.374817,17.167725,0.004944,4.048462,540Kb,moviepy
12.783806,30.756470,21.954224,0.004944,7.087036,540Kb,moviepy
7.343044,30.073730,23.939636,0.006531,4.388611,540Kb,moviepy
9.148138,27.262634,20.535156,0.003174,5.161011,540Kb,moviepy
9.237761,25.341370,18.867554,0.003174,5.184448,540Kb,moviepy
7.726214,23.776123,18.041382,0.003174,4.370422,540Kb,moviepy
14.369512,34.067627,24.316284,0.003174,7.975525,540Kb,moviepy
7.549278,23.323914,17.662354,0.003174,4.253235,540Kb,moviepy
11.026495,28.418335,20.717468,0.004578,6.157776,540Kb,moviepy
9.278277,26.185242,19.455688,0.004578,5.215759,540Kb,moviepy
7.402670,24.255676,18.501953,0.004578,4.204163,540Kb,moviepy
7.766910,23.576416,17.724731,0.004578,4.376404,540Kb,moviepy
7.364377,22.904602,17.264893,0.004578,4.152039,540Kb,moviepy
7.591767,23.236633,17.724854,0.004578,4.277466,540Kb,moviepy
11.338834,29.670166,21.628601,0.004578,6.310608,540Kb,moviepy
7.571394,23.562744,17.691895,0.005005,4.297607,540Kb,moviepy
7.769449,23.072449,17.452637,0.005005,4.351196,540Kb,moviepy
7.401951,23.018616,17.398743,0.005005,4.197327,540Kb,moviepy
11.114271,30.307312,22.372437,0.005005,6.233276,540Kb,moviepy
7.671460,24.179199,18.327881,0.005005,4.385559,540Kb,moviepy
7.036501,22.360718,17.108093,0.005005,3.971252,540Kb,moviepy
7.381711,22.930908,17.403076,0.005005,4.173279,540Kb,moviepy
11.462182,30.238342,21.962769,0.005005,6.436951,540Kb,moviepy
7.709920,23.791016,18.052307,0.005005,4.349731,540Kb,moviepy
9.067032,25.274780,18.568970,0.005005,5.096436,540Kb,moviepy
13.099562,31.887207,23.081055,0.010864,7.269653,540Kb,moviepy
7.257141,23.373169,17.907776,0.010864,4.143616,540Kb,moviepy
7.973215,23.658203,17.813965,0.010864,4.495972,540Kb,moviepy
7.683304,23.796082,17.906250,0.010864,4.359253,540Kb,moviepy
10.232453,29.433472,21.977844,0.004639,5.750977,540Kb,moviepy
8.442927,26.142944,19.756714,0.004639,4.778870,540Kb,moviepy
7.513584,23.099976,17.678223,0.004639,4.266113,540Kb,moviepy
7.773817,23.786987,18.160950,0.004639,4.384033,540Kb,moviepy
14.212626,33.692871,24.292542,0.004639,7.891235,540Kb,moviepy
7.891801,23.944275,18.097778,0.004639,4.478943,540Kb,moviepy
11.562494,29.271240,21.377808,0.003723,6.441101,540Kb,moviepy
11.460891,29.938232,22.212646,0.003723,6.416748,540Kb,moviepy
9.412936,26.173523,19.272583,0.003723,5.271240,540Kb,moviepy
7.592029,23.356079,17.664612,0.003723,4.271484,540Kb,moviepy
7.449431,24.403076,18.644409,0.003723,4.238037,540Kb,moviepy
7.468084,23.395996,17.608215,0.003723,4.244385,540Kb,moviepy
12.072699,29.671814,21.666199,0.003723,6.679565,540Kb,moviepy
8.696092,26.387817,19.648132,0.004639,4.881165,540Kb,moviepy
7.666150,24.163147,18.491516,0.004639,4.330505,540Kb,moviepy
9.616547,34.910645,26.585632,0.119019,5.907715,540Kb,opencv
10.026942,27.473145,19.623840,0.076416,5.801270,540Kb,opencv
7.568574,24.543030,18.074829,0.056091,4.456848,540Kb,opencv
10.539052,28.206177,19.922058,0.080017,6.088867,540Kb,opencv
7.465507,24.510071,18.111938,0.054688,4.373291,540Kb,opencv
8.202497,23.892395,17.581055,0.043823,4.690613,540Kb,opencv
11.133831,27.464172,20.112183,0.004883,6.154846,540Kb,opencv
11.151376,28.879028,21.470825,0.004883,6.217529,540Kb,opencv
7.722173,23.083740,17.475098,0.004883,4.317749,540Kb,opencv
11.711124,28.681396,20.740417,0.004883,6.465271,540Kb,opencv
7.879070,23.446899,17.693665,0.004883,4.408630,540Kb,opencv
8.389406,24.806702,18.567932,0.004883,4.704590,540Kb,opencv
12.075013,29.093262,20.854919,0.004639,6.684753,540Kb,opencv
7.945845,23.340759,17.367493,0.004639,4.456482,540Kb,opencv
8.012177,24.112976,18.128052,0.004639,4.457397,540Kb,opencv
10.531837,26.796692,19.628113,0.004639,5.825256,540Kb,opencv
12.284897,29.665039,21.567078,0.004639,6.808105,540Kb,opencv
7.466308,22.755920,17.139771,0.004639,4.173706,540Kb,opencv
7.569077,23.053162,17.383606,0.005127,4.229126,540Kb,opencv
8.182922,22.803894,17.066833,0.005127,4.516418,540Kb,opencv
12.996596,30.264404,21.589966,0.005127,7.147217,540Kb,opencv
9.611822,26.486145,19.363464,0.005127,5.327698,540Kb,opencv
9.722093,24.961365,18.410278,0.005127,5.378601,540Kb,opencv
7.568903,22.335571,16.705688,0.005127,4.207214,540Kb,opencv
8.875741,24.382690,17.990356,0.005127,4.939514,540Kb,opencv
7.695842,23.202271,17.540710,0.003784,4.310364,540Kb,opencv
10.493066,27.271362,19.885681,0.004272,5.870728,540Kb,opencv
9.352113,25.450562,19.056885,0.004272,5.234131,540Kb,opencv
10.943357,28.433899,20.857483,0.007812,6.060913,540Kb,opencv
7.875923,23.675903,17.758057,0.003845,4.400879,540Kb,opencv
11.560689,28.763184,20.532471,0.004639,6.403198,540Kb,opencv
12.808279,31.539246,22.604309,0.015320,7.129150,540Kb,opencv
6.833620,23.373474,17.579468,0.010864,3.833496,540Kb,opencv
11.669161,28.174683,20.396851,0.004333,6.444702,540Kb,opencv
10.641397,28.195862,20.757141,0.004333,5.892944,540Kb,opencv
7.346699,22.540833,16.901611,0.003784,4.138611,540Kb,opencv
7.486095,22.497131,16.884705,0.003784,4.206665,540Kb,opencv
11.771020,28.611267,20.738342,0.003906,6.511230,540Kb,opencv
8.641400,24.883484,18.678650,0.003906,4.799438,540Kb,opencv
11.766086,28.424011,20.541565,0.003906,6.494202,540Kb,opencv
10.385762,28.089722,20.592041,0.003906,5.784180,540Kb,opencv
9.406596,26.004089,19.319763,0.003906,5.249084,540Kb,opencv
7.237150,21.871887,16.537659,0.003906,4.042480,540Kb,opencv
7.470437,22.191284,16.642090,0.003906,4.190796,540Kb,opencv
7.822305,23.191589,17.205383,0.004822,4.388245,540Kb,opencv
8.350790,23.275940,17.229736,0.004822,4.638916,540Kb,opencv
7.273134,22.715393,17.506409,0.004822,4.103516,540Kb,opencv
7.361950,22.126160,16.850708,0.004822,4.151550,540Kb,opencv
11.975058,28.927979,20.858459,0.004822,6.597961,540Kb,opencv
10.536561,28.278381,20.888977,0.004822,5.867310,540Kb,opencv
12.485306,29.961670,21.362061,0.004028,6.895996,540Kb,opencv
11.464298,29.025757,20.953857,0.004272,6.347534,540Kb,opencv
12.996355,31.773499,22.908447,0.004272,7.210876,540Kb,opencv
7.466951,22.684326,17.021790,0.004272,4.180786,540Kb,opencv
10.853904,27.183716,19.706482,0.004272,5.991577,540Kb,opencv
8.178633,24.641785,18.614136,0.004272,4.573242,540Kb,opencv
12.586854,29.814636,21.413818,0.004822,6.982422,540Kb,opencv
10.439959,27.775635,20.106445,0.004150,5.835022,540Kb,opencv
7.670740,24.043213,18.253967,0.004578,4.340027,540Kb,opencv
11.809497,28.998535,20.657166,0.004456,6.526489,540Kb,opencv
8.040850,23.473938,17.689758,0.004028,4.520996,540Kb,opencv
8.389837,23.628113,17.707092,0.004028,4.688049,540Kb,opencv
10.129308,27.145630,20.070129,0.004761,5.642212,540Kb,opencv
7.469182,29.503845,23.610596,0.004761,4.388000,540Kb,opencv
11.566599,28.622375,20.857666,0.004761,6.402832,540Kb,opencv
7.466009,22.626892,17.003174,0.004761,4.146545,540Kb,opencv
10.539201,28.255066,20.889404,0.004761,5.851685,540Kb,opencv
7.159008,22.473328,17.012268,0.004761,4.026367,540Kb,opencv
12.893404,30.718140,21.736694,0.003723,7.143372,540Kb,opencv
9.619676,26.415344,19.526245,0.003723,5.368774,540Kb,opencv
10.741199,26.686584,19.467712,0.003723,5.946472,540Kb,opencv
7.578349,22.938293,17.242065,0.003723,4.250488,540Kb,opencv
7.863547,24.353271,18.391296,0.003723,4.349976,540Kb,opencv
10.803499,26.973999,19.724670,0.003723,5.967896,540Kb,opencv
7.812714,23.261292,17.477539,0.003723,4.375000,540Kb,opencv
6.953870,21.863037,16.437561,0.003357,3.886719,540Kb,opencv
7.980836,23.811279,18.050903,0.003357,4.473572,540Kb,opencv
7.364258,22.048523,16.838501,0.003357,4.154358,540Kb,opencv
7.569871,22.311035,16.793640,0.003357,4.202576,540Kb,opencv
12.482951,29.726868,21.354980,0.003357,6.855469,540Kb,opencv
8.126373,24.727783,18.737244,0.003357,4.535645,540Kb,opencv
12.749483,30.093628,21.454102,0.005127,7.033142,540Kb,opencv
8.278329,24.122009,17.971008,0.005127,4.629028,540Kb,opencv
12.995888,31.268860,22.359009,0.005127,7.162048,540Kb,opencv
7.570907,22.542908,17.033691,0.005127,4.228699,540Kb,opencv
7.466680,22.489075,17.061157,0.005127,4.173889,540Kb,opencv
10.630954,27.271423,20.028259,0.005127,5.900940,540Kb,opencv
8.705878,25.484619,19.123718,0.005127,4.899414,540Kb,opencv
9.718376,25.559998,18.908752,0.005371,5.429993,540Kb,opencv
10.128762,26.291199,19.106750,0.005371,5.592590,540Kb,opencv
12.278201,30.464722,22.181519,0.005371,6.788452,540Kb,opencv
9.068568,25.050903,18.559814,0.005371,5.061035,540Kb,opencv
9.860112,25.737793,18.925354,0.005371,5.503906,540Kb,opencv
8.595409,24.870422,18.603821,0.005371,4.807312,540Kb,opencv
10.745154,27.704041,20.049316,0.005432,5.974304,540Kb,opencv
9.003009,25.175415,18.513794,0.005432,5.048828,540Kb,opencv
11.356943,28.056335,20.264526,0.005432,6.306702,540Kb,opencv
11.459111,29.810913,21.958984,0.005432,6.403015,540Kb,opencv
8.797923,24.477722,18.342102,0.005432,4.932678,540Kb,opencv
8.391529,24.109985,17.882202,0.005432,4.694763,540Kb,opencv
4.342122,10.798218,7.263855,0.081299,2.585449,540Kb,ffmpeg
5.865867,12.447327,8.203369,0.036011,3.323853,540Kb,ffmpeg
4.418771,10.341492,6.965027,0.036499,2.541809,540Kb,ffmpeg
7.721982,15.443542,9.811523,0.059509,4.392090,540Kb,ffmpeg
3.665134,9.034973,6.197388,0.031860,2.114624,540Kb,ffmpeg
5.501934,12.961670,8.865112,0.039062,3.170227,540Kb,ffmpeg
6.438179,13.467651,8.684387,0.053162,3.667908,540Kb,ffmpeg
3.777819,9.295410,6.354919,0.029053,2.179749,540Kb,ffmpeg
6.401686,13.185059,8.574341,0.061157,3.650085,540Kb,ffmpeg
3.999574,9.507812,6.670593,0.017517,2.262085,540Kb,ffmpeg
4.585070,9.914368,6.921509,0.017517,2.544373,540Kb,ffmpeg
4.216588,9.360962,6.527100,0.017517,2.315125,540Kb,ffmpeg
6.565356,13.427429,9.294861,0.017517,3.597107,540Kb,ffmpeg
4.277373,9.461060,6.710754,0.017517,2.344116,540Kb,ffmpeg
3.706643,8.758057,6.248840,0.017517,2.052124,540Kb,ffmpeg
5.634255,11.378052,7.730042,0.017517,3.091919,540Kb,ffmpeg
4.039712,9.167114,6.429565,0.017517,2.259094,540Kb,ffmpeg
3.984930,9.268005,6.520813,0.017517,2.217590,540Kb,ffmpeg
4.342797,9.588135,6.804626,0.017517,2.394409,540Kb,ffmpeg
5.573600,12.146118,8.525208,0.017517,3.064148,540Kb,ffmpeg
5.284841,10.778931,7.376404,0.017517,2.911377,540Kb,ffmpeg
6.636017,12.844849,8.560059,0.003540,3.653625,540Kb,ffmpeg
5.512412,11.107239,7.639404,0.003540,3.015015,540Kb,ffmpeg
5.062723,10.534302,7.195679,0.003540,2.783325,540Kb,ffmpeg
5.560133,12.105835,8.481750,0.003540,3.053589,540Kb,ffmpeg
5.465280,10.846558,7.410156,0.003540,2.980042,540Kb,ffmpeg
5.015949,10.294922,7.234985,0.003540,2.749634,540Kb,ffmpeg
5.245072,10.863892,7.436523,0.003540,2.875732,540Kb,ffmpeg
3.953621,9.081665,6.455933,0.003540,2.197327,540Kb,ffmpeg
3.831710,8.846436,6.237610,0.003540,2.116150,540Kb,ffmpeg
6.323278,12.246460,8.297180,0.003540,3.458191,540Kb,ffmpeg
5.829208,12.479980,8.722229,0.003540,3.197205,540Kb,ffmpeg
3.750985,8.650208,6.210754,0.003540,2.075562,540Kb,ffmpeg
4.501633,9.747559,6.670471,0.004639,2.488770,540Kb,ffmpeg
4.025931,9.051270,6.328796,0.004639,2.218567,540Kb,ffmpeg
6.330581,12.212524,8.211487,0.004639,3.473389,540Kb,ffmpeg
5.825730,11.553101,7.844727,0.004639,3.179077,540Kb,ffmpeg
6.539293,13.611267,9.360901,0.004639,3.579956,540Kb,ffmpeg
7.081229,14.150818,9.434998,0.004639,3.867920,540Kb,ffmpeg
4.301866,9.606995,6.682495,0.004639,2.384216,540Kb,ffmpeg
4.632417,10.005432,6.950867,0.004639,2.558472,540Kb,ffmpeg
5.213126,10.656372,7.336548,0.004211,2.873474,540Kb,ffmpeg
6.654770,12.826233,8.552002,0.005188,3.654175,540Kb,ffmpeg
3.982232,9.855591,7.136597,0.005188,2.223450,540Kb,ffmpeg
3.868499,8.845764,6.178345,0.004578,2.144226,540Kb,ffmpeg
3.557356,14.743042,12.059021,0.004578,2.204468,540Kb,ffmpeg
5.124770,11.025452,7.748535,0.004578,2.839905,540Kb,ffmpeg
6.869072,13.592957,9.113953,0.005005,3.767090,540Kb,ffmpeg
4.192029,9.260254,6.523682,0.005005,2.304138,540Kb,ffmpeg
4.189131,9.182556,6.484497,0.005005,2.308655,540Kb,ffmpeg
4.618124,12.574524,9.050171,0.005005,2.532837,540Kb,ffmpeg
5.680128,11.189697,7.644165,0.005310,3.125793,540Kb,ffmpeg
5.241219,10.916504,7.555237,0.005127,2.889709,540Kb,ffmpeg
5.541211,11.104553,7.608887,0.005127,3.029724,540Kb,ffmpeg
6.470014,12.250671,8.212952,0.005127,3.509155,540Kb,ffmpeg
5.576760,11.118469,7.528015,0.005127,3.049805,540Kb,ffmpeg
4.010365,9.878601,7.213562,0.003845,2.233765,540Kb,ffmpeg
4.506280,9.867432,6.918030,0.003845,2.490356,540Kb,ffmpeg
6.718284,12.725342,8.570374,0.003845,3.654907,540Kb,ffmpeg
4.391548,9.606384,6.670715,0.003845,2.424500,540Kb,ffmpeg
3.574366,8.566711,6.029663,0.003845,1.974792,540Kb,ffmpeg
4.052198,9.211487,6.463684,0.003845,2.242554,540Kb,ffmpeg
6.221095,11.948975,8.087402,0.003845,3.380615,540Kb,ffmpeg
4.239710,10.135376,7.316650,0.003845,2.337219,540Kb,ffmpeg
4.548987,9.661926,6.744202,0.003845,2.494873,540Kb,ffmpeg
6.180910,11.944763,8.082031,0.003845,3.373108,540Kb,ffmpeg
4.185998,9.516113,6.648315,0.003174,2.328674,540Kb,ffmpeg
4.328000,14.919983,10.785828,0.003174,2.289429,540Kb,ffmpeg
4.461251,10.562683,7.299683,0.005066,2.452637,540Kb,ffmpeg
4.144756,9.339844,6.566528,0.003723,2.296936,540Kb,ffmpeg
3.993481,9.991089,7.273560,0.003723,2.231079,540Kb,ffmpeg
6.828084,13.359314,8.993164,0.003845,3.771790,540Kb,ffmpeg
4.250144,9.501709,6.669373,0.003845,2.340881,540Kb,ffmpeg
3.678757,8.547974,6.046997,0.003845,2.034546,540Kb,ffmpeg
6.247925,12.083923,8.098206,0.003845,3.404419,540Kb,ffmpeg
4.083297,9.095215,6.467346,0.003845,2.246948,540Kb,ffmpeg
3.632060,8.477417,6.039551,0.003845,2.001282,540Kb,ffmpeg
4.913840,11.751587,8.530029,0.003845,2.719360,540Kb,ffmpeg
5.505370,11.079102,7.600464,0.003845,3.008423,540Kb,ffmpeg
7.906256,14.528687,9.520447,0.003845,4.296753,540Kb,ffmpeg
4.007313,8.981506,6.304138,0.005371,2.221985,540Kb,ffmpeg
4.175058,9.107239,6.365540,0.005371,2.293518,540Kb,ffmpeg
4.307760,9.323792,6.504211,0.005371,2.382080,540Kb,ffmpeg
5.559768,12.154480,8.566833,0.005371,3.066040,540Kb,ffmpeg
5.108109,10.446960,7.233948,0.005371,2.805176,540Kb,ffmpeg
4.861379,10.160095,7.019409,0.005371,2.666382,540Kb,ffmpeg
3.516649,9.700195,6.966431,0.005371,1.937256,540Kb,ffmpeg
6.750228,12.883118,8.601685,0.003845,3.710449,540Kb,ffmpeg
4.510317,9.606750,6.657532,0.003845,2.492432,540Kb,ffmpeg
3.998078,9.114380,6.368958,0.003845,2.204895,540Kb,ffmpeg
3.870868,9.564697,6.940308,0.003845,2.139221,540Kb,ffmpeg
6.671390,12.360535,8.359680,0.003845,3.646057,540Kb,ffmpeg
4.185924,9.339600,6.583008,0.003845,2.304688,540Kb,ffmpeg
6.811548,13.228455,8.843628,0.010010,3.740662,540Kb,ffmpeg
4.993275,10.523132,7.269226,0.005554,2.755310,540Kb,ffmpeg
3.951892,9.033691,6.345093,0.005554,2.190918,540Kb,ffmpeg
5.178978,10.564392,7.253479,0.005554,2.844482,540Kb,ffmpeg
5.563431,12.026245,8.422180,0.005554,3.050354,540Kb,ffmpeg
3.710375,8.628662,6.147217,0.005554,2.047546,540Kb,ffmpeg
5.209614,10.571838,7.285461,0.005005,2.870300,540Kb,ffmpeg
11.465040,31.348389,22.016357,0.141602,6.750854,540Kb,imageio
7.384664,25.075745,18.346680,0.059143,4.384399,540Kb,imageio
17.995842,40.975220,27.704285,0.139832,10.308044,540Kb,imageio
11.253787,30.712463,21.878906,0.098511,6.552063,540Kb,imageio
10.850307,29.592407,21.882812,0.016785,6.145508,540Kb,imageio
7.364780,23.217041,17.656006,0.016785,4.193665,540Kb,imageio
7.300726,22.460999,17.116150,0.016785,4.116394,540Kb,imageio
11.012978,28.829224,21.035217,0.004578,6.152649,540Kb,imageio
7.905035,24.603516,18.553223,0.005554,4.480896,540Kb,imageio
13.070759,31.374451,22.336548,0.009949,7.254822,540Kb,imageio
7.371520,23.676453,17.914978,0.009949,4.174194,540Kb,imageio
7.261906,23.796143,18.266052,0.009949,4.116516,540Kb,imageio
7.163562,23.132874,17.608154,0.005066,4.092957,540Kb,imageio
7.464503,23.237976,17.737000,0.004822,4.239563,540Kb,imageio
